#$Format     "X_Y1-Yn"
#$CAbscissa  "Time"
#$CUnitA     "ms"
#$COrdinate  "Acceleration"
#$CUnitO     "mm/(ms*ms)"
#
#$Legtxt     "[X-Y-Resultant-Acceleration]:B-pillar-sill Left -- Shopping-cart -- 10kmph -Side"
#$Itemid     "10050033"
#$Itemtype   "node"
#
        1.749925E+01        1.588386E-03
        1.759924E+01        1.900224E-03
        1.769923E+01        1.843299E-03
        1.779922E+01        1.936632E-03
        1.789921E+01        2.006184E-03
        1.799920E+01        2.002377E-03
        1.809919E+01        1.848966E-03
        1.819918E+01        1.800813E-03
        1.829917E+01        1.700258E-03
        1.839916E+01        1.504531E-03
        1.849915E+01        1.492302E-03
        1.859914E+01        1.489452E-03
        1.869913E+01        1.137219E-03
        1.879912E+01        8.106011E-04
        1.889911E+01        7.225000E-04
        1.899910E+01        6.103861E-04
        1.909909E+01        6.488208E-04
        1.919908E+01        3.138262E-04
        1.929907E+01        9.909985E-04
        1.939906E+01        1.288721E-03
        1.949905E+01        1.306197E-03
        1.959904E+01        1.337020E-03
        1.970003E+01        1.429059E-03
        1.980002E+01        1.690848E-03
        1.990001E+01        1.759895E-03
        2.000000E+01        2.061638E-03
#$Format     "X_Y1-Yn"
#$CAbscissa  "Time"
#$CUnitA     "ms"
#$COrdinate  "Acceleration"
#$CUnitO     "mm/(ms*ms)"
#
#$Legtxt     "[X-Y-Resultant-Acceleration]:B-pillar-sill Right -- Shopping-cart -- 10kmph -Side"
#$Itemid     "10050028"
#$Itemtype   "node"
#
        0.000000E+00        0.000000E+00
        9.999000E-02        0.000000E+00
        1.999800E-01        5.467177E-18
        2.999700E-01        2.773097E-11
        3.999600E-01        6.651787E-10
        4.999500E-01        1.228078E-08
        5.999399E-01        6.080693E-08
        6.999300E-01        1.419989E-07
        7.999200E-01        2.236674E-07
        8.999099E-01        1.399174E-07
        9.998999E-01        7.119835E-09
        1.099890E+00        2.480624E-07
        1.199880E+00        3.370670E-07
        1.299870E+00        3.316448E-07
        1.399860E+00        4.606468E-07
        1.499850E+00        5.390974E-07
        1.599840E+00        3.971031E-07
        1.699830E+00        3.914844E-07
        1.799820E+00        1.234753E-06
        1.899810E+00        2.141476E-07
        1.999800E+00        1.982291E-06
        2.099790E+00        8.831656E-07
        2.199780E+00        1.240466E-05
        2.299770E+00        2.418412E-05
        2.399760E+00        2.065235E-05
        2.499750E+00        1.760547E-05
        2.599740E+00        6.403201E-05
        2.699730E+00        8.407563E-05
        2.799720E+00        5.496737E-05
        2.899710E+00        4.435684E-06
        2.999700E+00        4.870833E-05
        3.099690E+00        6.333859E-05
        3.199680E+00        3.852140E-05
        3.299670E+00        2.369795E-05
        3.399660E+00        6.820542E-05
        3.499650E+00        1.032951E-04
        3.599640E+00        1.345207E-04
        3.699630E+00        1.426787E-04
        3.799620E+00        1.256042E-04
        3.899610E+00        9.729762E-05
        3.999600E+00        6.963072E-05
        4.099590E+00        4.856111E-05
        4.199580E+00        3.515483E-05
        4.299570E+00        6.922199E-05
        4.399559E+00        9.549244E-05
        4.499550E+00        1.000783E-04
        4.599540E+00        5.096620E-05
        4.699530E+00        4.809416E-05
        4.799520E+00        1.372508E-04
        4.899509E+00        1.437589E-04
        4.999500E+00        1.233138E-04
        5.099490E+00        7.438727E-05
        5.199480E+00        2.979055E-05
        5.299469E+00        4.936881E-05
        5.399460E+00        9.347716E-05
        5.499450E+00        1.488114E-04
        5.599440E+00        1.686413E-04
        5.699430E+00        1.793190E-04
        5.799419E+00        2.466074E-04
        5.899410E+00        2.533550E-04
        5.999400E+00        2.191900E-04
        6.099390E+00        2.034512E-04
        6.199379E+00        2.608231E-04
        6.299369E+00        2.581370E-04
        6.399360E+00        1.915057E-04
        6.499350E+00        1.843481E-04
        6.599339E+00        3.014876E-04
        6.699329E+00        2.717657E-04
        6.799320E+00        1.314095E-04
        6.899310E+00        9.281921E-05
        6.999300E+00        1.171631E-04
        7.099289E+00        1.508912E-04
        7.199279E+00        2.676659E-04
        7.299270E+00        4.258388E-04
        7.399260E+00        4.043570E-04
        7.499249E+00        2.768067E-04
        7.599239E+00        1.112672E-04
        7.699229E+00        1.387509E-04
        7.799220E+00        1.883573E-04
        7.899209E+00        8.219082E-05
        7.999199E+00        2.890071E-04
        8.099190E+00        4.000381E-04
        8.199180E+00        3.692917E-04
        8.299170E+00        3.740188E-04
        8.399159E+00        4.416673E-04
        8.499149E+00        4.269655E-04
        8.599139E+00        2.453640E-04
